price_total,price_unit,area,ratio,age,Floor,Height,room
999.609,21.3,46.93,67.07,30,6,13,4
700.91,21.7,32.3,70.72,30,8,13,3
680.526,19.8,34.37,66.46,30,9,13,3
647.736,13.7,47.28,66.58,26,9,13,3
679.728,20.4,33.32,68.12,28,11,13,3
446.488,13.4,33.32,68.12,28,11,13,3
1100.073,20.1,54.73,41.47,28,13,13,3
828.282,18.2,45.51,62.24,29,4,13,3
1941.77,27.7,70.1,53.39,10,8,11,4
651.263,15.1,43.13,73.54,31,9,12,4
2702.188,27.4,98.62,70.29,23,17,27,3
2998.352,30.4,98.63,56.5,7,31,33,3
2245.888,24.8,90.56,57.95,7,9,33,4
2549.468,28.4,89.77,57.82,9,29,33,4
2977.32,25.8,115.4,56,9,22,33,3
2734.98,23.7,115.4,56.01,8,24,33,3
2648.338,31.9,83.02,57.9,9,20,33,3
2398.064,26.8,89.48,57.87,8,12,33,3
2818.557,24.3,115.99,56.09,8,12,33,4
2289.048,25.4,90.12,57.83,7,14,33,3
3845.858,44.6,86.23,51.82,1,25,28,3
3642.668,45.2,80.59,51.82,1,28,28,3
3845.858,44.6,86.23,51.82,1,24,28,3
3771.612,46.8,80.59,51.82,1,13,28,3
3497.606,43.4,80.59,51.82,1,15,28,3
2752.245,43.5,63.27,55.77,1,24,28,3
498.642,12.3,40.54,74.23,39,4,23,3
3543.3,27.9,127,59.18,13,4,24,3
2467.392,28.4,86.88,65.63,23,7,14,4
2397.266,27.1,88.46,66.73,21,8,14,4
2578.953,26.7,96.59,64.46,23,10,14,4
1800.95,18.1,99.5,52.8,19,4,14,4
1290.708,22.2,58.14,65.01,35,11,12,3
1649.716,22.9,72.04,57.71,23,5,14,4
2197.44,31.5,69.76,59.67,24,11,14,4
1980.825,27.5,72.03,61.99,24,11,14,4
1797.32,24.5,73.36,56.51,23,4,14,4
787.323,17.3,45.51,67.15,25,5,11,3
2452.95,39.5,62.1,57.64,7,4,15,4
895.531,16.9,52.99,60.11,27,6,22,2
1401.486,22.2,63.13,55.51,13,3,19,3
1355.675,21.1,64.25,64.03,13,11,19,3
2499.498,24.3,102.86,61.48,17,17,19,3
1197.798,23.7,50.54,52.54,15,12,19,2
1853.882,21.4,86.63,57.25,15,16,19,4
1149.351,23.9,48.09,57.45,11,8,15,3
1801.614,25.8,69.83,53.02,15,5,15,4
1259.84,25.4,49.6,56.23,11,10,15,3
1338.176,20.6,64.96,76.62,35,10,17,5
543.59,19,28.61,73.95,35,8,17,3
620.646,21.9,28.34,69.64,34,8,17,3
596.099,21.7,27.47,71.83,35,13,17,3
1251.72,18.3,68.4,68.53,33,17,26,3
1427.385,21.5,66.39,71.26,34,11,26,4
1197.018,16.2,73.89,64.26,32,5,26,4
2589.084,32.4,79.91,55.81,15,3,15,4
3880.8,39.6,98,56.44,15,13,15,3
764.736,19.2,39.83,69.32,28,12,16,2
699.192,15.6,44.82,71.64,30,6,12,3
2279.804,36.7,62.12,58.47,5,10,15,4
2588.196,28.2,91.78,52.48,2,10,15,3
1948.284,29.9,65.16,57.99,4,4,15,4
1459.115,32.9,44.35,58.86,4,4,15,3
1633.599,31.9,51.21,57.64,5,11,15,2
1807.542,35.8,50.49,57.63,5,15,15,2
2051.2,40,51.28,57.49,6,13,15,3
1858.02,35.8,51.9,57.5,5,5,15,2
1499.91,28.9,51.9,57.5,3,14,15,3
1650.468,31.6,52.23,57.5,3,10,15,3
1548.386,26.6,58.21,57.57,1,12,21,3
2101.586,35.9,58.54,57.54,2,8,21,3
2387.28,29,82.32,59.39,2,11,21,4
2473.344,33.9,72.96,58.49,2,16,21,3
2676.158,27.4,97.67,56.63,5,23,27,3
2783.595,28.5,97.67,56.63,5,26,27,3
2930.1,30,97.67,56.63,6,20,27,4
1956.603,21.1,92.73,56.23,5,2,27,3
2022.073,26.9,75.17,55.3,7,3,27,4
2097.396,26.1,80.36,55.09,5,16,27,4
2119.98,26.7,79.4,55.3,6,25,27,3
2306.304,28.6,80.64,55.3,6,20,27,3
2444.682,24.9,98.18,56.3,6,20,27,3
3502.314,35.8,97.83,56.52,8,11,27,4
1247.38,18.8,66.35,54.85,30,11,16,4
1246.78,19.3,64.6,56.66,30,9,16,4
1429.632,19.2,74.46,52.78,30,16,16,4
2529.348,39.3,64.36,51.26,1,7,22,3
2683.812,41.7,64.36,51.26,2,3,22,3
2490.732,38.7,64.36,51.26,1,9,22,3
3034.464,43.3,70.08,51.26,2,21,22,3
3349.612,47.6,70.37,51.26,2,20,22,3
2639.684,41.2,64.07,51.26,2,2,22,3
2497.168,38.8,64.36,51.26,1,5,22,3
2477.86,38.5,64.36,51.26,1,6,22,3
2740.128,39.1,70.08,51.26,1,11,22,3
3279.744,46.8,70.08,51.26,2,17,22,3
2782.176,39.7,70.08,51.26,1,13,22,3
3349.612,47.6,70.37,51.26,2,19,22,3
2709.556,42.1,64.36,51.26,2,12,22,3
2871.096,40.8,70.37,51.26,1,15,22,3
2901.312,41.4,70.08,51.26,1,18,22,3
3314.427,47.1,70.37,51.26,2,16,22,3
2645.196,41.1,64.36,51.26,1,14,22,3
2690.94,42,64.07,51.26,2,4,22,3
2533.53,39.5,64.14,51.27,2,3,22,3
2454.783,38.1,64.43,51.27,1,9,22,3
3081.78,43.9,70.2,51.23,2,21,22,3
3267.012,48.3,67.64,53.58,2,22,22,3
3094.511,43.9,70.49,51.23,2,20,22,3
2572.014,40.1,64.14,51.27,2,2,22,3
2506.327,38.9,64.43,51.27,1,5,22,3
2480.555,38.5,64.43,51.27,1,6,22,3
2756.895,39.3,70.15,51.27,1,11,22,3
3201.12,45.6,70.2,51.23,2,17,22,3
2784.955,39.7,70.15,51.27,1,13,22,3
3002.874,42.6,70.49,51.23,1,19,22,3
2828.477,43.9,64.43,51.27,2,12,22,3
2654.516,41.2,64.43,51.27,1,15,22,3
2948.4,42,70.2,51.23,1,18,22,3
2866.908,40.7,70.44,51.27,1,14,22,3
2480.555,38.5,64.43,51.27,1,10,22,3
2533.53,39.5,64.14,51.27,2,4,22,3
2214.42,39,56.78,52.52,2,3,22,3
2539.615,44.5,57.07,52.52,2,21,22,3
2560.176,41.4,61.84,53.83,1,22,22,3
2533.908,44.4,57.07,52.52,2,20,22,3
2202.902,38.6,57.07,52.52,1,2,22,3
2186.03,38.5,56.78,52.52,1,5,22,3
2242.81,39.5,56.78,52.52,1,11,22,3
2539.615,44.5,57.07,52.52,2,17,22,3
2259.972,39.6,57.07,52.52,1,13,22,3
2414.061,42.3,57.07,52.52,2,19,22,3
2407.472,42.4,56.78,52.52,2,12,22,3
2259.972,39.6,57.07,52.52,1,15,22,3
2396.94,42,57.07,52.52,1,18,22,3
2636.634,46.2,57.07,52.52,2,16,22,3
2322.749,40.7,57.07,52.52,1,14,22,3
2237.144,39.2,57.07,52.52,2,4,22,3
2261.628,38.7,58.44,53.62,1,3,22,3
2835.43,44.2,64.15,53.62,1,21,22,3
2816.185,43.9,64.15,53.62,1,22,22,3
2925.576,45.4,64.44,53.62,2,20,22,3
2220.72,38,58.44,53.62,1,2,22,3
2396.04,41,58.44,53.62,1,11,22,3
2559.672,43.8,58.44,53.62,2,17,22,3
2559.672,43.8,58.44,53.62,2,12,22,3
2512.92,43,58.44,53.62,1,18,22,3
3149.916,53.9,58.44,53.62,2,16,22,3
2273.316,38.9,58.44,53.62,1,4,22,3
2383.545,39.3,60.65,52.79,1,7,22,3
2373.85,39.4,60.25,52.79,1,3,22,3
2723.3,45.2,60.25,52.79,2,9,22,3
2542.55,42.2,60.25,52.79,1,21,22,3
2756.16,43.2,63.8,55.3,1,22,22,3
2802.798,42.3,66.26,52.79,1,20,22,3
2337.7,38.8,60.25,52.79,2,2,22,3
2537.758,38.3,66.26,52.79,1,5,22,3
2391.925,39.7,60.25,52.79,1,8,22,3
2319.625,38.5,60.25,52.79,1,6,22,3
2440.125,40.5,60.25,52.79,1,11,22,3
3028.082,45.7,66.26,52.79,2,17,22,3
2802.798,42.3,66.26,52.79,1,19,22,3
2554.6,42.4,60.25,52.79,2,12,22,3
2548.575,42.3,60.25,52.79,1,18,22,3
3169.15,52.6,60.25,52.79,2,16,22,3
2488.325,41.3,60.25,52.79,1,14,22,3
2301.55,38.2,60.25,52.79,1,4,22,3
2486.82,42,59.21,53.71,2,9,22,3
2862.719,43.9,65.21,53.71,2,21,22,3
3051.24,47,64.92,53.72,2,20,22,3
2354.081,36.1,65.21,53.71,1,2,22,3
2220.375,37.5,59.21,53.71,1,5,22,3
2235,37.5,59.6,53.71,1,6,22,3
2326.953,39.3,59.21,53.71,1,11,22,3
3032.265,46.5,65.21,53.71,2,17,22,3
2492.741,42.1,59.21,53.71,1,19,22,3
2605.24,44,59.21,53.71,2,12,22,3
2660.568,40.8,65.21,53.71,1,15,22,3
2712.736,41.6,65.21,53.71,1,18,22,3
3031.764,46.7,64.92,53.72,2,16,22,3
